month,year,large_half_dozen,large_dozen,extra_large_half_dozen,extra_large_dozen
January,2004,126,230,132,230
February,2004,128.5,226.25,134.5,230
March,2004,131,225,137,230
April,2004,131,225,137,234.5
May,2004,131,225,137,236
June,2004,133.5,231.375,137,241
July,2004,133.5,233.5,137,241
August,2004,133.5,233.5,137,241
September,2004,129.75,233.5,135.875,241
October,2004,128.5,233.5,135.5,241
November,2004,128.5,233.5,135.5,241
December,2004,128.5,233.5,135.5,241
January,2005,128.5,233.5,135.5,241
February,2005,128.5,233.5,135.5,241
March,2005,128.5,233.5,135.5,241
April,2005,128.5,233.5,135.5,241
May,2005,128.5,233.5,135.5,241
June,2005,128.5,233.5,135.5,241
July,2005,128.5,233.5,135.5,241
August,2005,128.5,233.5,135.5,241
September,2005,128.5,233.5,135.5,241
October,2005,128.5,233.5,135.5,241
November,2005,128.5,233.5,135.5,241
December,2005,128.5,233.5,135.5,241
January,2006,128.5,233.5,135.5,241
February,2006,128.5,233.5,135.5,241
March,2006,128.5,233.5,135.5,241.375
April,2006,128.5,233.5,135.5,241.5
May,2006,128.5,233.5,135.5,241.5
June,2006,128.5,233.5,135.5,241.5
July,2006,128.5,233.5,135.5,241.5
August,2006,128.5,233.5,135.5,241.5
September,2006,128.5,233.5,135.5,241.5
October,2006,128.5,233.5,135.5,241.5
November,2006,128.5,233.5,135.5,241.5
December,2006,128.5,233.5,135.5,241.5
January,2007,128.5,233.5,135.5,241.5
February,2007,131.125,236.125,138.125,244.125
March,2007,132,237,139,245
April,2007,132,237,139,245
May,2007,132,237,139,245
June,2007,132,237,139,245
July,2007,132,237,139,245
August,2007,132,237,139,245
September,2007,132,237,139,245
October,2007,132,237,139,245
November,2007,132,237,139,245
December,2007,132,237,139,245
January,2008,132,237,139,245
February,2008,132,237,139,245
March,2008,132,237,139,245
April,2008,132,237,139,245
May,2008,132,237,139,245
June,2008,174.5,277.5,185.5,285.5
July,2008,174.5,277.5,185.5,285.5
August,2008,174.5,277.5,185.5,285.5
September,2008,174.5,277.5,185.5,285.5
October,2008,174.5,277.5,185.5,285.5
November,2008,174.5,277.5,185.5,285.5
December,2008,174.5,277.5,185.5,285.5
January,2009,174.5,277.5,185.5,285.5
February,2009,174.5,277.5,185.5,285.5
March,2009,174.5,277.5,185.5,285.5
April,2009,174.5,277.5,185.5,285.5
May,2009,174.5,277.5,185.5,285.5
June,2009,174.5,277.5,185.5,285.5
July,2009,174.5,277.5,185.5,285.5
August,2009,174.5,271.5,185.5,285.5
September,2009,174.5,271.5,185.5,285.5
October,2009,174.5,271.5,185.5,285.5
November,2009,174.5,271.5,185.5,285.5
December,2009,174.5,271.5,185.5,285.5
January,2010,174.5,271.5,185.5,285.5
February,2010,174.5,271.5,185.5,285.5
March,2010,174.5,268,185.5,285.5
April,2010,174.5,268,185.5,285.5
May,2010,174.5,268,185.5,285.5
June,2010,174.5,268,185.5,285.5
July,2010,174.5,268,185.5,285.5
August,2010,174.5,268,185.5,285.5
September,2010,174.5,268,185.5,285.5
October,2010,174.5,267.5,185.5,285.5
November,2010,174.5,267.5,185.5,285.5
December,2010,174.5,267.5,185.5,285.5
January,2011,174.5,267.5,185.5,285.5
February,2011,174.5,267.5,185.5,285.5
March,2011,174.5,267.5,185.5,285.5
April,2011,174.5,267.5,185.5,285.5
May,2011,174.5,267.5,185.5,285.5
June,2011,174.5,270,185.5,285.5
July,2011,174.5,270,185.5,285.5
August,2011,174.5,270,185.5,285.5
September,2011,174.5,270,185.5,285.5
October,2011,174.5,270,185.5,285.5
November,2011,174.5,270,185.5,285.5
December,2011,174.5,270,185.5,285.5
January,2012,174.5,267.5,185.5,285.5
February,2012,174.5,267.5,185.5,288.5
March,2012,174.5,267.5,185.5,288.5
April,2012,174.5,267.5,185.5,288.5
May,2012,173.25,267.5,185.5,288.5
June,2012,173.25,267.5,185.5,288.5
July,2012,173.25,267.5,185.5,288.5
August,2012,173.25,267.5,185.5,288.5
September,2012,173.25,267.5,185.5,288.5
October,2012,173.25,267.5,185.5,288.5
November,2012,178,267.5,188.13,290
December,2012,178,267.5,188.13,290
January,2013,178,267.5,188.13,290
February,2013,178,267.5,188.13,290
March,2013,178,267.5,188.13,290
April,2013,178,267.5,188.13,290
May,2013,178,267.5,188.13,290
June,2013,178,267.5,188.13,290
July,2013,178,267.5,188.13,290
August,2013,178,267.5,188.13,290
September,2013,178,267.5,188.13,290
October,2013,178,267.5,188.13,290
November,2013,178,267.5,188.13,290
December,2013,178,267.5,188.13,290
